                              牛顿迭代法计算结果
          M                       E                       iter
   10.0000000000000        10.1004824827757                2
   20.0000000000000        20.1978208433850                2
   30.0000000000000        30.2889778649518                2
   40.0000000000000        40.3711254112930                2
   50.0000000000000        50.4417374963576                2
   60.0000000000000        60.4986705337862                2
   70.0000000000000        70.5402279408279                2
   80.0000000000000        80.5652072806913                2



                              不动点迭代计算结果
          M                       E                       iter
   10.0000000000000        10.1004824827756                6
   20.0000000000000        20.1978208433848                6
   30.0000000000000        30.2889778649516                6
   40.0000000000000        40.3711254112929                6
   50.0000000000000        50.4417374963576                6
   60.0000000000000        60.4986705337862                6
   70.0000000000000        70.5402279408279                6
   80.0000000000000        80.5652072806912                5
